indicator,reference_site,selected_candidate,relative_change
latitude,36.5,37.25,0.02054794520547945
longitude,99.75,99.75,0.0
annual_energy_mwh_mean,1107.6398103333331,1559.73833,0.4081638412135189
capacity_factor_mean,0.0631753468,0.0889623252333333,0.4081810348421119
full_load_hours_mean,553.8199043333334,779.8691660000001,0.4081638451380253
low_ratio_mean,0.5292129005830443,0.4014707209455131,-0.24138145441427275
distance_to_load_km,78.71620519071315,129.88700721546732,0.6500669322254274
nearest_town_name,切吉乡,黑马河乡,
distance_to_nearest_town_km,19.75670455646915,57.97691578715151,1.9345438466946916
elevation_m,3347.3876953125,3337.343994140625,-0.0030004594884362077
slope_deg,6.022895336151123,3.962970495223999,-0.34201571270263853
n_turbines,1004,713,-0.2898406374501992
installed_capacity_mw,2008.0,1426.0,-0.2898406374501992
composite_score_v4,0.6965752649935854,0.8426523437409525,0.20970753066965764
